nearest_distance,type
1972.1706747986466,library
2797.914167616989,library
2135.3265180127714,library
2803.03442770032,library
1957.9559827962569,library
2918.8272921829584,library
3596.5452024728675,library
3041.3073452832627,library
2190.3483436751703,library
1857.5412259171871,library
2174.4379713264516,library
3299.074868222718,library
5671.620283385606,library
3799.6591487981946,library
3691.5792252185397,library
3799.6591487981946,library
266816.8118244546,library
1957.9559827962569,library
1857.5412259171871,library
2918.8272921829584,library
2271.1828992210762,library
4926.249478062019,library
2499.292628098171,library
2499.292628098171,library
3293.994713502053,library
3761.07140232632,theater
145.16680908663724,theater
524.8326087924155,theater
3268.7122146842844,theater
839.5138003477676,theater
293.995988592109,theater
4598.414166198318,theater
128.5457112771581,theater
107.04483959809066,theater
3932.5960460123506,theater
2957.166823876959,theater
4282.314744026415,theater
820.2815978059537,theater
155.79510183963615,theater
3423.197432508828,theater
4619.111031354002,theater
2840.495189672227,theater
3188.6320729513486,theater
839.5138003477676,theater
144.10980673315646,theater
769.7684729226517,theater
3239.936519004934,theater
500.09087601497555,theater
1681.6368570840261,theater
177.4539920014801,theater
273.1942912903933,theater
564.9960937468785,theater
195.7479550900669,theater
507.6895482390616,theater
930.9018596854427,theater
124.15599900153236,theater
3393.1083992717713,theater
231.66813183154687,theater
135.86569917723494,theater
5262.741859319588,theater
70.83252395936093,theater
145.48105412181954,theater
120.35859392413211,theater
197.00081776164217,theater
508.51798490875393,theater
968.91476773604,theater
120.35859392413211,theater
485.73816022115074,theater
145.16680908663724,theater
103.09532932658563,gym
182.69785942697567,gym
178.9919324923635,gym
102.5457087067491,gym
332.3842793566622,gym
207.0632346038602,gym
571.9217380132882,gym
512.9508122420611,gym
384.7737312493196,gym
906.1545204608233,gym
225.9065585083817,gym
82.2597918881242,gym
154.52072475444595,gym
141.43240816092603,gym
125.54124041192719,gym
410.02960610803973,gym
144.9853717022915,gym
562.8074340364279,gym
613.9421257002042,gym
186.94387141133683,gym
159.833085207542,gym
138.36576416790217,gym
182.09666920720554,gym
111.5064610492838,gym
110.03094438308318,gym
175.19697568984364,gym
195.3907966511105,gym
252.75523953156474,gym
638.0044501563674,gym
180.13805963290582,gym
124.38837310455386,gym
94.74404151904264,gym
755.2187185768706,gym
445.37342520710166,gym
124.84555329056874,gym
322.0405388845369,gym
322.0405388845369,gym
507.13881295280476,gym
277.2504087363091,gym
204.22868657253287,gym
102.49136183471956,gym
294.8789368115557,gym
68.04541925514232,gym
300.69208325583526,gym
987.6744450060745,gym
154.9467855134421,gym
288.7506990001998,gym
242.08555980396676,gym
180.81830878173793,gym
89.8413114254118,gym
299.8486259550212,gym
125.2331175129307,gym
125.2331175129307,gym
673.6094210609508,gym
854.4738101689026,gym
459.10149025454564,gym
571.9217380132882,gym
543.0674950741197,gym
403.267892110086,gym
872.3982081823482,gym
797.7327273081405,gym
400.0233460791633,gym
736.5980110392763,gym
1105.029286360323,gym
791.2283101558985,gym
466.19050216475625,gym
289.69108477572024,gym
111.44139907471234,gym
154.9467855134421,gym
124.84555329056874,gym
597.958065977792,gym
224.27512584773064,gym
727.6340838394499,gym
228.34481817664224,gym
82.2597918881242,gym
184.6638964805207,gym
652.1557013618581,gym
512.0598833129673,gym
116.59237009654636,gym
736.5980110392763,gym
370.5556532609528,gym
370.5556532609528,gym
109.63426861061774,gym
260.0302556457145,gym
260.0302556457145,gym
370.5556532609528,gym
736.5980110392763,gym
304.949139988959,gym
456.9705623477927,gym
1000.4848132728212,gym
722.6063063977733,gym
177.24914885022673,gym
846.0090561138055,gym
173.5824860758429,gym
274.32463047952217,gym
123.9975671097836,gym
111.5064610492838,gym
1014.9336747911176,gym
225.9065585083817,gym
1101.4579281066801,gym
69.62036890236416,gym
170.83526045773067,gym
360.6210324031708,gym
