nearest_distance,type
2290.8520775940224,library
1735.5688794621567,library
2438.145857572048,library
2623.702405527308,library
1936.795348820515,library
2226.544387719722,library
3024.5719096608673,library
5714.919599796511,library
2781.44450496121,library
2697.8848969743244,library
2989.3757675180573,library
1499.8353139440133,library
3941.329968680382,library
4004.4998641224447,library
3212.3594459351443,library
4013.971311250916,library
2452.4850176934096,library
4419.017733088406,library
3345.154639523855,library
2989.3757675180573,library
2839.55075201529,library
3282.6577119508524,library
3105.8445871335293,library
3850.571200507869,library
12485.284113015352,library
3772.1823551703487,library
2697.8848969743244,library
6666.094852290932,library
4363.01112235701,library
6203.475388820859,library
4168.630488545618,library
3112.213721700475,library
4403.458477460934,library
297.1636787939989,theater
635.1923456202161,theater
249.89924408621732,theater
260.31242513148453,theater
1373.8587921700328,theater
272.1220326446366,theater
2133.808955124887,theater
2926.5530886960996,theater
3541.327036170784,theater
2725.2854872325092,theater
2458.188835762802,theater
213.11439189095952,theater
3051.998459321506,theater
166.80769819350894,theater
154.84411408153957,theater
1119.7153507842975,theater
736.172109747528,theater
6297.509624597602,theater
4049.121761349734,theater
2857.7579624577006,theater
3571.597733951343,theater
357.2158772226519,theater
1885.5015228680566,theater
2857.7579624577006,theater
334.19225683157526,theater
405.442092871704,theater
12084.142261183148,theater
11517.650826299296,theater
3773.9846092390403,theater
3982.8672629113516,theater
156.48518291388046,theater
144.5855886686441,theater
208.62235133274066,theater
6121.634383707484,theater
2886.8157906941665,theater
141.69094022104775,theater
7547.669934132193,theater
1373.8587921700328,theater
208.62235133274066,theater
3404.4838656359298,theater
166.80769819350894,theater
110.88626003617021,theater
115.76752876986126,theater
2147.5627749227297,theater
1280.6756242979386,theater
2182.064486609755,theater
112.47814344739875,theater
2031.9754643510719,theater
2685.945183072945,theater
165.8363747230613,theater
1592.5133129191763,theater
2133.808955124887,theater
2177.0571181129767,theater
2689.9785763272725,theater
547.3820239591569,theater
3252.6207515698075,theater
103.60572888988192,gym
162.3758463129573,gym
230.2422506259497,gym
335.5225960915222,gym
74.92314865161593,gym
430.67763946091577,gym
86.45443337624509,gym
635.9701484427213,gym
118.25364351493164,gym
363.73307775352146,gym
91.05884662869113,gym
97.77794141685065,gym
510.45039765660397,gym
269.5876102437513,gym
603.4345242466369,gym
741.2341207584724,gym
1572.8995560092712,gym
652.6020726669756,gym
428.74979224654845,gym
370.58071713651793,gym
593.6841103456005,gym
399.9477740010863,gym
388.73442041515204,gym
206.96327947498963,gym
243.12520890378335,gym
98.99230434576693,gym
107.12708998260248,gym
137.40810144494952,gym
493.76992253951516,gym
102.79491855230098,gym
331.6727948112726,gym
166.95628651204194,gym
144.1430749161741,gym
259.13581769147896,gym
171.0010718417657,gym
127.77919772372142,gym
505.4666067320789,gym
270.2516541211533,gym
138.3322959426656,gym
460.35122373246594,gym
387.1808222224674,gym
97.58106813238068,gym
235.76469058314808,gym
424.19810685214776,gym
359.8063657743419,gym
355.71406828058053,gym
232.58832387153967,gym
625.0629708233973,gym
552.8110655444065,gym
794.5492651100942,gym
389.72362406439896,gym
397.28667015538235,gym
369.3093345811879,gym
469.89367034053737,gym
462.52515425773277,gym
63.89467066594346,gym
314.5674052973883,gym
397.28667015538235,gym
97.7772237698053,gym
506.43903679387057,gym
340.15125264039216,gym
315.18652549667627,gym
620.696062891312,gym
252.1989737174619,gym
134.69792109946056,gym
111.20492727136045,gym
114.0199008648748,gym
159.74965101603527,gym
645.6287276460425,gym
585.8632211036951,gym
97.7772237698053,gym
198.34247099075125,gym
533.4699440097396,gym
188.76055618522398,gym
167.84813632352098,gym
645.8168706106898,gym
64.52731619355278,gym
204.2843689754408,gym
416.6529463426077,gym
398.27065342872953,gym
141.1226021140448,gym
433.9608774780061,gym
824.8158849193446,gym
114.64481751405566,gym
5867.446471911769,gym
481.28288412100545,gym
1047.8724696189813,gym
824.808313300481,gym
645.5204591605543,gym
259.3611580300016,gym
613.4576717772023,gym
38.88735960211626,gym
383.9690121402843,gym
442.22925127080197,gym
292.4917029959557,gym
655.795873205495,gym
84.5154026513372,gym
125.98757456018383,gym
296.6228608463747,gym
423.0105904112944,gym
493.0125709001238,gym
357.58440897622296,gym
154.0517149645304,gym
155.0416287368488,gym
61.04379288297919,gym
263.5511772703131,gym
113.61331957893314,gym
287.3922099249267,gym
442.22925127080197,gym
121.83000894061944,gym
418.1210300892385,gym
57.72502448106625,gym
531.3336165968167,gym
259.13581769147896,gym
139.7285512160492,gym
726.6173484376664,gym
97.52901355708616,gym
94.62846201804928,gym
206.96327947498963,gym
47.98289707714537,gym
129.18765679016423,gym
236.09257698180656,gym
94.8694622271442,gym
386.6462989729282,gym
228.91855239852552,gym
216.31003232030517,gym
885.6755376007987,gym
154.14228402659137,gym
429.9516732757494,gym
291.6975619861556,gym
1276.3801299484928,gym
250.59365664080576,gym
157.01372475764603,gym
431.0577108644892,gym
338.59249378369134,gym
209.1504486457868,gym
350.6243699526472,gym
156.12244536237765,gym
475.5161423659387,gym
239.02848384098445,gym
1300.809829874687,gym
314.45308140521144,gym
256.18784298507927,gym
314.9401837450477,gym
350.20334415827455,gym
80.64121336921758,gym
162.30303921398212,gym
129.74474247286042,gym
274.3065896928764,gym
397.28667015538235,gym
141.615596498684,gym
256.59196925038157,gym
309.35387501312334,gym
938.4925307255892,gym
869.372900833015,gym
58.0458152517988,gym
247.2291845079423,gym
481.9490848663158,gym
500.9980723899649,gym
689.2294172654651,gym
1174.6750833939336,gym
84.21104376164273,gym
476.3207046432446,gym
901.1218043393752,gym
825.7836152072691,gym
519.9105682250923,gym
203.82712631347815,gym
301.3030674226486,gym
109.43152067508461,gym
747.0927417949188,gym
249.65593160888085,gym
567.3905421558082,gym
415.5742503107411,gym
456.2037404838633,gym
98.90958851455105,gym
444.93962393479785,gym
317.6260069834387,gym
297.9165749325915,gym
196.41563309616473,gym
75.50201069678472,gym
133.79728063022523,gym
146.35475658121803,gym
49.97030700954073,gym
0.0,gym
134.69792109946056,gym
419.7238576876088,gym
416.671365085164,gym
289.00437310698317,gym
80.64121336921758,gym
226.08700643646753,gym
757.3055508965452,gym
40.75559705239114,gym
5996.396741917107,gym
467.26660721430096,gym
705.2143480373245,gym
204.44295712518823,gym
118.25724680647298,gym
135.96248210331373,gym
108.29102891342596,gym
232.35607747075161,gym
113.61331957893314,gym
215.39954222205304,gym
176.28569979724995,gym
158.57539056563968,gym
182.62341268357545,gym
787.8763714827984,gym
435.0758114778476,gym
213.45840128815982,gym
142.38576804737053,gym
176.28569979724995,gym
657.7883226652668,gym
461.33358474309074,gym
1691.0298140306002,gym
210.63608324704487,gym
370.40813853403324,gym
270.5693285823771,gym
40.75559705239114,gym
354.6345434282899,gym
212.45965023702038,gym
428.2737160241396,gym
811.5033653243971,gym
454.87362668177303,gym
108.37240208761555,gym
193.88791133953433,gym
91.05884662869113,gym
549.8913719678837,gym
181.95842931160118,gym
248.50221832546697,gym
379.52385148791404,gym
845.8183507143967,gym
365.0173505568901,gym
196.65850897731298,gym
95.2620751259916,gym
558.4852187779811,gym
205.195743693267,gym
61.04379288297919,gym
93.0009131448857,gym
145.0799605253451,gym
49.97030700954073,gym
459.19887756813114,gym
374.6126289952195,gym
617.0284157138224,gym
188.84109849787262,gym
429.288793070274,gym
119.15580046471739,gym
141.1226021140448,gym
341.13557731706646,gym
332.50422318591865,gym
357.58440897622296,gym
393.57018999736573,gym
531.1806485955489,gym
346.4372967484395,gym
78.40976198278557,gym
199.7994164148813,gym
516.217280293587,gym
585.8632211036951,gym
193.88791133953433,gym
93.64935160780381,gym
442.22925127080197,gym
396.1410363865872,gym
108.02358002965615,gym
132.4486478756762,gym
249.49585660921161,gym
99.6404283813859,gym
554.5530199985911,gym
203.82712631347815,gym
0.0,gym
232.58832387153967,gym
300.00115095789505,gym
242.0578421670249,gym
309.35387501312334,gym
423.0105904112944,gym
295.1492996488998,gym
126.58666470374344,gym
884.5004364690577,gym
305.6795398850057,gym
461.2069321262034,gym
437.45441910443867,gym
112.83054178884382,gym
156.26270063199982,gym
388.53250552081266,gym
215.12626762978329,gym
672.6465704662274,gym
1064.6462172761255,gym
235.26518637173652,gym
181.52713413025378,gym
371.3366789747909,gym
81.30850040322241,gym
432.2206473119725,gym
101.47953725430894,gym
135.96248210331373,gym
491.11176560594595,gym
378.58222797897156,gym
645.5204591605543,gym
342.10672530132194,gym
622.2308090039342,gym
239.02848384098445,gym
979.692499620829,gym
250.59365664080576,gym
1212.7548283909005,gym
477.9924351201121,gym
1388.4244685876101,gym
1060.9013158625512,gym
334.03004083313533,gym
500.85457094551566,gym
422.4977409766587,gym
113.94960381310898,gym
40.37007993192706,gym
320.3192507083187,gym
182.9018882345738,gym
133.95815912201638,gym
415.8163489850852,gym
415.8163489850852,gym
91.05884662869113,gym
71.25735246290398,gym
426.69708072904535,gym
331.20723342352346,gym
49.97030700954073,gym
283.8802339733967,gym
249.32476945969026,gym
160.58026421637194,gym
353.246614304365,gym
0.0,gym
