nearest_distance,type
793.6789402180332,library
1474.405074208164,library
1887.8513211519457,library
3565.8708396144752,library
1076.0393970169114,library
2300.360464550615,library
1093.1381808692333,library
1458.4540051355505,library
1738.961249045687,library
2206.2416948460427,library
1595.6930454518933,library
1462.2999521939923,library
2608.3483890471794,library
2184.7772712658725,library
1534.6996268567539,library
948.0094174954166,library
3711.0795203583816,library
2184.7772712658725,library
1487.6180390880925,library
3674.450466034375,library
4126.0288465486665,library
5324.787707901441,library
4126.0288465486665,library
1832.2164233901224,library
1040.9210258906821,library
1184.4863917576788,library
1246.4256292677408,library
744.4976346977509,library
3727.4944177203743,library
3195.102682285506,library
1044.876394603366,library
2132.925138409454,library
6257.555701472744,library
1100.859699792198,library
2163.6948868756403,library
7928.881996326439,library
621.3791897296575,library
1184.3152354601355,library
1138.2746113736273,library
5107.131242378335,library
4432.6962931629905,library
1159.7062135385422,library
1155.7695426264647,library
1175.8089712535052,library
1474.405074208164,library
1407.2269690064718,library
1697.2624231684435,library
3487.7049815008245,library
2142.054351087955,library
2986.0013690353862,library
1626.6535543160874,library
2925.7238667916877,library
3363.690489613447,library
2396.6225052735444,library
1947.9246355342132,library
1420.6001729397415,library
1076.0393970169114,library
1033.5921184106871,library
1642.978610426867,library
1315.748908931314,library
580.1088065933374,library
906.9203816793718,library
759.3018668319922,library
1286.1075289358762,library
759.3018668319922,library
802.7158883445518,library
1472.8322444684698,library
2201.7028569836143,library
1226.055015728788,library
2707.316480924599,library
1670.8394561872408,library
1363.1623513918469,library
958.9216133060343,library
1088.986006850951,library
4275.782097364704,library
1337.1555364763735,library
1159.7062135385422,library
2030.6653851479537,library
4256.498366480917,library
1462.2999521939923,library
1640.1215572501903,library
1738.3795003475213,library
1477.1221899262164,library
1516.2547946723769,library
2417.488277733254,library
1244.2816602423406,library
6025.40387119223,library
3978.7063514004185,library
3364.131589399347,library
34711.5768424572,library
1345.4156120509417,theater
294.717875305405,theater
147.2190518555546,theater
9043.372884762819,theater
2815.0450717322797,theater
344.60100238796105,theater
277.55919009196595,theater
179.11023000853405,theater
388.89067971321003,theater
7099.336121987873,theater
1529.0394606705865,theater
143.1062067974987,theater
1805.9572817398257,theater
103.06900959268692,theater
1395.0912742148473,theater
7258.211388139192,theater
471.160497270254,theater
6369.66465128752,theater
110.05617189672061,theater
452.9247915904665,theater
245.62500449039484,theater
2722.9438435305387,theater
2909.2851741541253,theater
2997.593305502437,theater
419.5603138664854,theater
2815.0450717322797,theater
3183.7154911750963,theater
1529.2990958548187,theater
122.71043155062985,theater
18307.37808087309,theater
347.37205485274285,theater
1949.8699396502877,theater
105.73723868420718,theater
101.77696811262585,theater
1959.195547205785,theater
2380.0952117625784,theater
1727.3909650919818,theater
58.03941349175484,theater
121.81433721451732,theater
143.91143059847457,theater
164.5959824396161,theater
34.4862649803768,theater
1930.8149164900333,theater
1904.5734099080425,theater
105.56821139380149,theater
35.850863834807555,theater
34.77592820289252,theater
35.850863834807555,theater
207.96239656970664,theater
103.08461802559616,theater
4037.8604901674335,theater
2911.104010904087,theater
1464.669782922679,theater
1529.2990958548187,theater
388.89067971321003,theater
74.0990066408586,gym
506.7352589055339,gym
4994.895338081495,gym
208.2242319635709,gym
1354.7245614603185,gym
791.5592658549826,gym
266.1263535910429,gym
2193.842269165696,gym
1384.7987739152625,gym
362.8745806580755,gym
409.12447884401087,gym
679.957399444408,gym
700.155783951473,gym
241.64359967729672,gym
1082.1965856514728,gym
74.1349321928417,gym
605.2402496161218,gym
429.4285233752887,gym
599.9939783422288,gym
703.5604342401091,gym
143.2691013763452,gym
111.66009754682057,gym
354.3048746582825,gym
136.89611224857512,gym
4250.1489297370745,gym
299.1580910684571,gym
136.89611224857512,gym
666.2882951875862,gym
892.5114149094776,gym
81.86183620374015,gym
220.5974472850966,gym
154.5335178010121,gym
693.1992384982033,gym
164.22149133230863,gym
106.64939777940921,gym
397.228287727329,gym
78.22739453975213,gym
62.01100703492495,gym
3920.5150084365955,gym
134.30839710256348,gym
108.58439675154239,gym
82.94667376811879,gym
263.2919838830454,gym
329.8329206005992,gym
325.84682276531237,gym
384.4089709494046,gym
99.2887296223343,gym
304.80380896180816,gym
138.65442549941264,gym
512.9175371719551,gym
254.82642637611698,gym
673.5949737117908,gym
161.6723009497792,gym
365.575839049712,gym
100.05392865914295,gym
359.37368416389955,gym
282.6401490224134,gym
377.78485736150344,gym
157.47301421382298,gym
259.072107612327,gym
198.47138856535443,gym
131.81705546491997,gym
468.8415399098596,gym
382.5959548502145,gym
490.7850474850393,gym
244.82115157630693,gym
351.5087517071024,gym
311.73739783407706,gym
869.2916313468094,gym
327.24558222310645,gym
198.23121292486425,gym
427.8250858679299,gym
471.1013753708436,gym
581.4938932929205,gym
85.6660622030528,gym
676.0000960173398,gym
377.81686321259804,gym
356.58661761535086,gym
165.55710796482163,gym
135.6901498668826,gym
299.9817377065477,gym
274.31314597579353,gym
169.05692002609845,gym
83.11109717215427,gym
279.18823867676497,gym
85.31163982115802,gym
81.82612730166018,gym
264.39712811608126,gym
365.23519118418227,gym
303.0506369487578,gym
788.9096532414876,gym
99.14021927822952,gym
159.98635395571415,gym
107.50395311283509,gym
195.85258380318078,gym
384.65927443484264,gym
1185.9747972140274,gym
678.2472739080591,gym
156.03044363438457,gym
326.7581108577681,gym
115.52078196356477,gym
101.72723811487285,gym
207.17473181584774,gym
716.5295569487457,gym
155.26779203024253,gym
510.23587835411604,gym
504.47932700442374,gym
172.04354922357444,gym
70.29835593230142,gym
76.7681355902242,gym
347.4899257214174,gym
358.8218872241819,gym
524.9230075610715,gym
464.40547224136714,gym
142.37102276196276,gym
386.2617117821353,gym
28.855014291308688,gym
393.1511853359366,gym
427.8250858679299,gym
269.8983690997159,gym
155.88353384741015,gym
679.957399444408,gym
283.3500911311194,gym
147.32256513046755,gym
203.95141601670923,gym
280.7813735771797,gym
553.3033259871032,gym
509.3881263830075,gym
200.3283368648255,gym
366.2099836678739,gym
135.0662537619723,gym
32012.818171711722,gym
377.84722778837147,gym
397.39757509089003,gym
65.98210405330832,gym
141.30490540788236,gym
389.981645253125,gym
613.6342331922898,gym
1931.9957019733176,gym
338.1081040542641,gym
173.92840786100965,gym
269.190822620968,gym
236.8913362429792,gym
127.72991957569462,gym
72.38548922550652,gym
587.9595443036125,gym
502.7557906681742,gym
204.8891690252443,gym
74.77180631246974,gym
396.4443425870959,gym
189.5583743978768,gym
70.29835593230142,gym
429.4285233752887,gym
475.77775513492406,gym
466.8840890358362,gym
251.95555335760463,gym
200.3283368648255,gym
200.3283368648255,gym
643.4636481575934,gym
193.8031999225085,gym
322.8355942172924,gym
543.3763932387909,gym
336.1542908172275,gym
346.6341015781746,gym
699.7041188462795,gym
165.3362363728072,gym
860.2349597497704,gym
228.85176169381546,gym
28.855014291308688,gym
28.855014291308688,gym
547.2731527305746,gym
619.1036049423317,gym
282.6401490224134,gym
109.67282710938923,gym
768.9048934246111,gym
1002.3351276849309,gym
323.911332056534,gym
535.0869931598047,gym
199.55636385747746,gym
266.5718950236021,gym
282.6401490224134,gym
169.5153858059181,gym
174.73147596859025,gym
175.66371258627802,gym
134.7413315728955,gym
318.67125111398406,gym
272.44805102071723,gym
229.50264916615401,gym
665.9542802762388,gym
440.3943164926637,gym
207.64721999186736,gym
778.253682272293,gym
939.9823755335257,gym
171.80014461689052,gym
389.9166979327157,gym
364.56940569730165,gym
397.22910519741765,gym
692.8513812121087,gym
258.0232712832546,gym
445.42189240406316,gym
125.22770078810325,gym
313.0825084468237,gym
218.13414327483548,gym
333.74441580455164,gym
185.91190152493775,gym
253.77294852195465,gym
218.13414327483548,gym
216.58898860214921,gym
555.9400548781365,gym
168.43638826129504,gym
122.80870361468158,gym
290.6822644901169,gym
536.0102691457084,gym
86.37523010367775,gym
254.82642637611698,gym
114.32165033144226,gym
519.083800512329,gym
86.63119511197638,gym
340.01743553765994,gym
375.4432846923152,gym
662.5688925373934,gym
363.07356969930356,gym
499.3997608399956,gym
248.63411249796124,gym
176.01474483315474,gym
189.5583743978768,gym
329.8329206005992,gym
238.98326144298062,gym
668.6527445686341,gym
76.12741529499519,gym
462.2069421780212,gym
326.6188712563122,gym
173.94193826010587,gym
216.8525268822369,gym
649.0613703044562,gym
247.58739043930777,gym
469.79933129815186,gym
508.88405425559745,gym
311.97308457757157,gym
558.2241702709024,gym
392.2543947161689,gym
358.85584681787736,gym
141.30490540788236,gym
336.49338511114223,gym
509.98086251248105,gym
178.69344398677487,gym
620.9323241742717,gym
901.9358452445058,gym
324.0080742583898,gym
421.415464776493,gym
396.54103724326836,gym
447.19953549721777,gym
385.5235324398081,gym
591.4407541334717,gym
415.28825525562036,gym
78.784680273693,gym
727.4493157365785,gym
398.8236947144229,gym
101.43306994361141,gym
476.8541269588448,gym
465.1268908851016,gym
154.87905104657165,gym
327.13871634123694,gym
215.62248178640087,gym
366.2099836678739,gym
89.67691349985795,gym
120.42140562622956,gym
342.62431441585136,gym
185.4599341815267,gym
181.48056409491713,gym
330.23781207237624,gym
457.98747174405355,gym
147.2511144211424,gym
66.93336333000383,gym
679.957399444408,gym
919.4459453355499,gym
146.50091714537447,gym
153.33944624081101,gym
544.172627410757,gym
341.5386106903576,gym
805.3059384817541,gym
